,predicted_mean
2776,178.55449036767894
2777,178.55449036767894
2778,178.55449036767894
2779,178.55449036767894
2780,178.55449036767894
2781,178.55449036767894
2782,178.55449036767894
2783,178.55449036767894
2784,178.55449036767894
2785,178.55449036767894
2786,178.55449036767894
2787,178.55449036767894
2788,178.55449036767894
2789,178.55449036767894
2790,178.55449036767894
2791,178.55449036767894
2792,178.55449036767894
2793,178.55449036767894
2794,178.55449036767894
2795,178.55449036767894
2796,178.55449036767894
2797,178.55449036767894
2798,178.55449036767894
2799,178.55449036767894
2800,178.55449036767894
2801,178.55449036767894
2802,178.55449036767894
2803,178.55449036767894
2804,178.55449036767894
2805,178.55449036767894
2806,178.55449036767894
2807,178.55449036767894
2808,178.55449036767894
2809,178.55449036767894
2810,178.55449036767894
2811,178.55449036767894
2812,178.55449036767894
2813,178.55449036767894
2814,178.55449036767894
2815,178.55449036767894
2816,178.55449036767894
2817,178.55449036767894
2818,178.55449036767894
2819,178.55449036767894
2820,178.55449036767894
2821,178.55449036767894
2822,178.55449036767894
2823,178.55449036767894
2824,178.55449036767894
2825,178.55449036767894
2826,178.55449036767894
2827,178.55449036767894
2828,178.55449036767894
2829,178.55449036767894
2830,178.55449036767894
2831,178.55449036767894
2832,178.55449036767894
2833,178.55449036767894
2834,178.55449036767894
2835,178.55449036767894
2836,178.55449036767894
2837,178.55449036767894
2838,178.55449036767894
2839,178.55449036767894
2840,178.55449036767894
2841,178.55449036767894
2842,178.55449036767894
2843,178.55449036767894
2844,178.55449036767894
2845,178.55449036767894
2846,178.55449036767894
2847,178.55449036767894
2848,178.55449036767894
2849,178.55449036767894
2850,178.55449036767894
2851,178.55449036767894
2852,178.55449036767894
2853,178.55449036767894
2854,178.55449036767894
2855,178.55449036767894
2856,178.55449036767894
2857,178.55449036767894
2858,178.55449036767894
2859,178.55449036767894
2860,178.55449036767894
2861,178.55449036767894
2862,178.55449036767894
2863,178.55449036767894
2864,178.55449036767894
2865,178.55449036767894
2866,178.55449036767894
2867,178.55449036767894
2868,178.55449036767894
2869,178.55449036767894
2870,178.55449036767894
2871,178.55449036767894
2872,178.55449036767894
2873,178.55449036767894
2874,178.55449036767894
2875,178.55449036767894
2876,178.55449036767894
2877,178.55449036767894
2878,178.55449036767894
2879,178.55449036767894
2880,178.55449036767894
2881,178.55449036767894
2882,178.55449036767894
2883,178.55449036767894
2884,178.55449036767894
2885,178.55449036767894
2886,178.55449036767894
2887,178.55449036767894
